"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
1024.6628,2.83576,1024.6628,0.036187,4437.940495368967,,,
1033.2017,2.832607,1033.2017,0.03584,4359.059057090524,,,
1041.884,2.829515,1041.884,0.035496,4281.243318136118,,,
1050.7135,2.82648,1050.7135,0.035156,4204.603113202705,,,
1059.694,2.823501,1059.694,0.03482,4129.126189182786,,,
1068.8293,2.820576,1068.8293,0.034488,4054.800796984318,,,
1078.1234,2.817702,1078.1234,0.034159,3981.4983499652735,,,
1087.5807,2.814878,1087.5807,0.033834,3909.3244608536015,,,
1097.2053,2.812104,1097.2053,0.033511,3838.038748607851,,,
1107.0017,2.809376,1107.0017,0.033192,3767.862085774662,,,
1116.9747,2.806693,1116.9747,0.032876,3698.6692744040865,,,
1127.129,2.804055,1127.129,0.032563,3630.4515837617328,,,
